,Day,Hour,Load,U1,U2,U3
0,Friday,00,1.5092896933297162,0.5139075388451947,1.3952624628590296,0.0
1,Monday,00,1.4825025708319401,0.4609629771724535,1.3073621657312644,0.0
2,Saturday,00,1.5030313736128549,0.4842700939957798,1.367778144602179,0.0
3,Sunday,00,1.488975389410065,0.46470362555150585,1.4197755034664905,0.0
4,Thursday,00,1.5079143771016157,0.4652791099175139,1.395014856388247,0.0
5,Tuesday,00,1.5098241379714357,0.49109369433558964,1.4032035561005518,0.0
6,Wednesday,00,1.511068772120195,0.435641665068099,1.336579729283592,0.0
7,Friday,01,1.4952589442870752,0.4937655860349127,1.3685209640145262,0.0
8,Monday,01,1.467676914244617,0.4324765010550547,1.3189996698580388,0.0
9,Saturday,01,1.4854929373095536,0.5144830232112028,1.2949818421921426,0.0
10,Sunday,01,1.4728501220750871,0.4436984461922118,1.4128425222845824,0.0
11,Thursday,01,1.4935555709770425,0.43305198542106277,1.3539121822383626,0.0
12,Tuesday,01,1.4917224168433878,0.4926968293551835,1.3894083384426732,0.0
13,Wednesday,01,1.4954860607284128,0.38442355649338195,1.3308847804555959,0.0
14,Friday,02,1.4868051656372823,0.5242662574333397,1.3709970287223507,0.0
15,Monday,02,1.4615826230687217,0.4693075004795703,1.3254374380983822,0.0
16,Saturday,02,1.4754745787305454,0.4831191252637637,1.211290855067679,0.0
17,Sunday,02,1.4566281199595397,0.42269326683291775,1.3910944206008582,0.0
18,Thursday,02,1.4842311793021215,0.45376942259735276,1.3472268075272367,0.0
19,Tuesday,02,1.4815409309791332,0.5295689348058426,1.3510116492949111,0.0
20,Wednesday,02,1.4875369852815927,0.41780164972184924,1.334846483988115,0.0
21,Friday,03,1.4861616690534922,0.4750623441396509,1.3771871904919115,0.0
22,Monday,03,1.4611914780864177,0.46758104738154616,1.3737206999009572,0.0
23,Saturday,03,1.4714369531067637,0.4776520237866872,1.2258996368438428,0.0
24,Sunday,03,1.4619863856311,0.41089583732975254,1.3680257510729612,0.0
25,Thursday,03,1.4815183995861434,0.4724726644926146,1.3534169692967977,0.0
26,Tuesday,03,1.4789633396210942,0.5330423940149627,1.351471489883507,0.0
27,Wednesday,03,1.4878650423635251,0.44427393055821984,1.351436117530538,0.0
28,Friday,04,1.493303219375556,0.4779397659696911,1.3784252228458236,0.0
29,Monday,04,1.4675759736040226,0.47103395357759453,1.3435127104655002,0.0
30,Saturday,04,1.47288797481531,0.43995779781315947,1.2622977880488608,0.0
31,Sunday,04,1.4635131128200922,0.4517552273163246,1.3952624628590296,0.0
32,Thursday,04,1.4886599499082072,0.4721849223096106,1.408137999339716,0.0
33,Tuesday,04,1.4853018710969994,0.5226220163876024,1.3859595340282034,0.0
34,Wednesday,04,1.497075875817777,0.45779781315940915,1.3501980851766258,0.0
35,Friday,05,1.5132642310531266,0.557356608478803,1.406404754044239,0.0
36,Monday,05,1.4919026679873066,0.5127565701131787,1.3680257510729612,0.0
37,Saturday,05,1.479285087912989,0.43995779781315936,1.3135523275008252,0.0
38,Sunday,05,1.4680680592269206,0.4871475158258201,1.409871244635193,0.0
39,Thursday,05,1.511144477600641,0.5021101093420296,1.4445361505447343,0.0
40,Tuesday,05,1.5090625768883785,0.5985037406483791,1.4218270999386877,0.0
41,Wednesday,05,1.5208978669980884,0.5400920774985614,1.3672829316606139,0.0
42,Friday,06,1.5587001369007436,0.6782083253404949,1.3890723010894683,0.003076923076923077
43,Monday,06,1.5414519049391517,0.6399386150009593,1.4631066358534168,0.01076923076923077
44,Saturday,06,1.4940728917600894,0.5211010934202954,1.3739683063717398,0.01846153846153846
45,Sunday,06,1.4773672157416928,0.5035488202570497,1.409871244635193,0.015384615384615385
46,Thursday,06,1.5616147978979111,0.6123153654325724,1.4430505117200396,0.007692307692307693
47,Tuesday,06,1.563063115839299,0.7532062700391878,1.4549356223175967,0.018571428571428572
48,Wednesday,06,1.5712546290746898,0.6264147323997697,1.4544404093760315,0.012307692307692308
49,Friday,07,1.6110126238888645,0.6600805678112411,1.402938263453285,0.06307692307692309
50,Monday,07,1.5988240415370736,0.6782083253404949,1.4692967976229778,0.08615384615384616
51,Saturday,07,1.5194720804496906,0.5035488202570497,1.304390888081875,0.1
52,Sunday,07,1.4938710104789004,0.45204296949932865,1.4049191152195444,0.09846153846153846
53,Thursday,07,1.6188229059548669,0.7184922309610589,1.4742489270386265,0.050769230769230775
54,Tuesday,07,1.6155991142458788,0.7996971856074101,1.470110361741263,0.07714285714285715
55,Wednesday,07,1.6260780144975995,0.5938998657203146,1.4576592934962032,0.06615384615384616
56,Friday,08,1.636828192720918,0.7202186840590831,1.3799108616705182,0.24153846153846154
57,Monday,08,1.6252831069529174,0.7282754651831959,1.4692967976229778,0.33999999999999997
58,Saturday,08,1.5516216744790516,0.5697295223479762,1.301419610432486,0.33384615384615385
59,Sunday,08,1.5196739617308797,0.46671782083253405,1.39229118520964,0.32769230769230767
60,Thursday,08,1.638455860550505,0.8252445808555534,1.4774678111587982,0.21538461538461537
61,Tuesday,08,1.6328806926690957,0.8595475596722479,1.4524064990803187,0.25857142857142856
62,Wednesday,08,1.6427710729359217,0.596777287550355,1.4692967976229778,0.26
63,Friday,09,1.6426953674554758,0.7184922309610589,1.371739848134698,0.5661538461538462
64,Monday,09,1.6386072715113968,0.7446767696144255,1.4690491911521955,0.62
65,Saturday,09,1.5747749339154244,0.5786495300211011,1.2830967315945858,0.6846153846153846
66,Sunday,09,1.5427262805266577,0.46182620372146554,1.4301749752393529,0.6630769230769231
