,Season,Day,Hour,U1,U2,U3,Load,Dispatch Cost
0,winter,Sunday,0,0.9000000000000001,0.6984216809280368,0.0,1.598421680928037,466.7301365993237
1,winter,Sunday,1,1.1000000000000005,0.4826202648149662,0.0,1.5826202648149668,466.7301365993237
2,winter,Sunday,2,1.3000000000000012,0.2739267521437607,0.0,1.5739267521437619,466.7301365993237
3,winter,Sunday,3,1.3715756763899143,0.19999999999999973,0.0,1.571575676389914,466.7301365993237
4,winter,Sunday,4,1.3739632029306434,0.19999999999999973,0.0,1.5739632029306432,466.7301365993237
5,winter,Sunday,5,1.3819641506511025,0.19999999999999973,0.0,1.5819641506511022,466.7301365993237
6,winter,Sunday,6,1.4021214357964955,0.19999999999999973,0.0,1.6021214357964952,466.7301365993237
7,winter,Sunday,7,1.4297146814656865,0.19999999999999973,0.0,1.6297146814656862,466.7301365993237
8,winter,Sunday,8,1.4184730765375402,0.19999999999999973,0.03777777777777777,1.6562508543153176,466.7301365993237
9,winter,Sunday,9,1.226973400038275,0.23535544073557513,0.21555555555555556,1.6778843963294057,466.7301365993237
10,winter,Sunday,10,1.0269734000382744,0.23731576405405552,0.43333333333333335,1.6976224974256633,466.7301365993237
11,winter,Sunday,11,0.8269734000382738,0.19999999999999973,0.6822222222222222,1.7091956222604956,466.7301365993237
12,winter,Sunday,12,0.6612909046174037,0.19999999999999973,0.8488888888888889,1.7101797935062923,466.7301365993237
13,winter,Sunday,13,0.7145670102153332,0.19999999999999973,0.7911111111111111,1.705678121326444,466.7301365993237
14,winter,Sunday,14,0.8054776419985967,0.19999999999999973,0.7000000000000001,1.7054776419985966,466.7301365993237
15,winter,Sunday,15,0.9764285519013645,0.19999999999999973,0.5355555555555556,1.7119841074569198,466.7301365993237
16,winter,Sunday,16,1.176428551901365,0.3353169851554161,0.2288888888888889,1.74063442594567,466.7301365993237
17,winter,Sunday,17,1.3764285519013657,0.377546497535014,0.031111111111111114,1.7850861605474908,466.7301365993237
18,winter,Sunday,18,1.5,0.284612300318033,0.0,1.784612300318033,466.7301365993237
19,winter,Sunday,19,1.5,0.26680609092648777,0.0,1.7668060909264878,466.7301365993237
20,winter,Sunday,20,1.5,0.2455735075680947,0.0,1.7455735075680947,466.7301365993237
21,winter,Sunday,21,1.5,0.21371551983378456,0.0,1.7137155198337846,466.7301365993237
22,winter,Sunday,22,1.472070495821829,0.19999999999999973,0.0,1.6720704958218287,466.7301365993237
23,winter,Sunday,23,1.429167919662466,0.19999999999999973,0.0,1.6291679196624658,466.7301365993237
0,winter,Monday,0,0.9000000000000001,0.7035065656979869,0.0,1.603506565697987,492.32132279905585
1,winter,Monday,1,1.1000000000000005,0.4891449556667298,0.0,1.5891449556667303,492.32132279905585
2,winter,Monday,2,1.3000000000000012,0.2796130748972532,0.0,1.5796130748972543,492.32132279905585
3,winter,Monday,3,1.3816725443560516,0.19999999999999973,0.0,1.5816725443560513,492.32132279905585
4,winter,Monday,4,1.3916418345681039,0.19999999999999973,0.0,1.5916418345681036,492.32132279905585
5,winter,Monday,5,1.4177405979751592,0.19999999999999973,0.0,1.617740597975159,492.32132279905585
6,winter,Monday,6,1.4749501079854563,0.19999999999999973,0.0,1.674950107985456,492.32132279905585
7,winter,Monday,7,1.5,0.24278502237167054,0.0,1.7427850223716705,492.32132279905585
8,winter,Monday,8,1.5000000000000004,0.261236775198884,0.013333333333333332,1.7745701085322179,492.32132279905585
9,winter,Monday,9,1.4155776082816192,0.19999999999999973,0.1688888888888889,1.7844664971705078,492.32132279905585
10,winter,Monday,10,1.2301892707108821,0.21291542506173822,0.3488888888888889,1.7919935846615092,492.32132279905585
11,winter,Monday,11,1.0301892707108815,0.19999999999999973,0.56,1.7901892707108813,492.32132279905585
12,winter,Monday,12,0.9381134895249554,0.19999999999999973,0.6533333333333333,1.7914468228582885,492.32132279905585
13,winter,Monday,13,0.9075126894301835,0.19999999999999973,0.6844444444444444,1.7919571338746276,492.32132279905585
14,winter,Monday,14,1.0567648104103455,0.19999999999999907,0.5333333333333333,1.790098143743678,492.32132279905585
15,winter,Monday,15,1.2567648104103455,0.23621294549696015,0.30000000000000004,1.7929777559073057,492.32132279905585
