,Day,Hour,Load,U1,U2,U3
0,Friday,00,1.6299516115804151,0.6551889507001726,1.4420600858369097,0.0
1,Monday,00,1.5952406487959674,0.5052752733550738,1.402938263453285,0.0
2,Saturday,00,1.6159587152779968,0.47678879723767503,1.418289864641796,0.0
3,Sunday,00,1.5847932924944326,0.4822558987147516,1.3761967646087818,0.0
4,Thursday,00,1.6252452542126945,0.5633991943218876,1.4618686034995048,0.0
5,Tuesday,00,1.634809379909027,0.6114521388835603,1.3147903598547375,0.0
6,Wednesday,00,1.6226757741561317,0.5517456359102244,1.2650214592274678,0.0
7,Friday,01,1.603959396627321,0.5967772875503549,1.4039286893364145,0.0
8,Monday,01,1.5791153814609895,0.45376942259735276,1.3997193793331133,0.0
9,Saturday,01,1.6017134673740923,0.446000383656244,1.4101188511059755,0.0
10,Sunday,01,1.5721504772599664,0.4900249376558604,1.2984483327830967,0.0
11,Thursday,01,1.6005652675873294,0.5490120851716862,1.459640145262463,0.0
12,Tuesday,01,1.6157189812565849,0.5832534049491656,1.3452459557609773,0.0
13,Wednesday,01,1.6057339691392016,0.5290345564659779,1.2797363580625383,0.0
14,Friday,02,1.581866013917191,0.5728946863610205,1.3811488940244305,0.0
15,Monday,02,1.5595581323457972,0.43132553232303855,1.347969626939584,0.0
16,Saturday,02,1.5791027638809152,0.4275848839439862,1.3761967646087818,0.0
17,Sunday,02,1.5564542076475154,0.4621139459044696,1.2796302410036315,0.0
18,Thursday,02,1.574043114271114,0.45175522731632456,1.4366127434796963,0.0
19,Tuesday,02,1.5855503472988914,0.5305965854594283,1.3172664245625616,0.0
20,Wednesday,02,1.5767946479830346,0.5052547203420021,1.2155885959534027,0.0
21,Friday,03,1.5391050350453288,0.578074045655093,1.3511885110597557,0.0
22,Monday,03,1.5141853143985515,0.4143487435258009,1.357131066358534,0.0
23,Saturday,03,1.5366446069308366,0.4031267983886438,1.3197424892703862,0.0
24,Sunday,03,1.5187528783854545,0.446000383656244,1.238032353912182,0.0
25,Thursday,03,1.5270552460743554,0.4425474774601957,1.4140805546384945,0.0
26,Tuesday,03,1.5335028294923316,0.47966621906771534,1.2939914163090127,0.0
27,Wednesday,03,1.5267425103396561,0.4542215888849305,1.2466278356836296,0.0
