,Day,Hour,Load,U1,U2,U3
0,Friday,00,1.6280652833593046,0.5278990024937656,1.0638412017167382,0.0
1,Monday,00,1.603506565697987,0.6807980049875312,1.1709585121602288,0.0
2,Saturday,00,1.636221146924009,0.4829592684954281,1.2185264663805435,0.0
3,Sunday,00,1.598421680928037,0.4546965918536991,1.1326895565092991,0.0
4,Thursday,00,1.635036496350365,0.4816084788029925,1.079533261802575,0.0
5,Tuesday,00,1.6433404412367751,0.6639650872817955,1.1386802575107295,0.0
6,Wednesday,00,1.6552530140244404,0.5568890274314214,1.0360783261802575,0.0
7,Friday,01,1.6136102681866644,0.5307044887780549,0.9994635193133048,0.0
8,Monday,01,1.5891449556667303,0.6463009143807149,1.1709585121602288,0.0
9,Saturday,01,1.6157175793032432,0.4700748129675811,1.2049356223175964,0.0
10,Sunday,01,1.5826202648149668,0.4546965918536991,1.1244635193133048,0.0
11,Thursday,01,1.6183260887394406,0.4558915211970075,1.0537821888412018,0.0
12,Tuesday,01,1.6275321906011646,0.623285536159601,1.0815450643776825,0.0
13,Wednesday,01,1.6404699417698678,0.4680486284289277,1.0598175965665235,0.0
14,Friday,02,1.6049167555154598,0.5269638403990025,0.9443401287553649,0.0
15,Monday,02,1.5796130748972543,0.6068162926018288,1.1716738197424894,0.0
16,Saturday,02,1.6022125627636987,0.46259351620947636,1.1770386266094421,0.0
17,Sunday,02,1.5739267521437619,0.4542809642560266,1.1276824034334763,0.0
18,Thursday,02,1.612872139752317,0.39978179551122195,1.0517703862660945,0.0
19,Tuesday,02,1.6194947920938243,0.6134663341645885,1.080337982832618,0.0
20,Wednesday,02,1.6335192323464283,0.4231608478802993,1.0984442060085837,0.0
21,Friday,03,1.604363159189699,0.5129364089775562,0.9475590128755365,0.0
22,Monday,03,1.5816725443560513,0.516209476309227,1.1623748211731044,0.0
23,Saturday,03,1.5977473413707317,0.458852867830424,1.144134477825465,0.0
24,Sunday,03,1.571575676389914,0.4546965918536991,1.1237482117310442,0.0
25,Thursday,03,1.6097145903387189,0.3960411471321696,1.0545869098712446,0.0
26,Tuesday,03,1.618387599442303,0.6162718204488778,1.0807403433476395,0.0
27,Wednesday,03,1.6325145575330107,0.42690149625935164,1.1085032188841202,0.0
28,Friday,04,1.609612072500615,0.45869700748129677,1.01193669527897,0.0
29,Monday,04,1.5916418345681036,0.5141313383208646,1.1434191702432046,0.0
30,Saturday,04,1.595396265616884,0.45594347464671653,1.1659513590844062,0.0
31,Sunday,04,1.5739632029306432,0.45552784704904403,1.1101573676680971,0.0
32,Thursday,04,1.6155581071106373,0.41474438902743144,1.0207886266094421,0.0
33,Tuesday,04,1.6226318379398015,0.5241583541147132,1.079533261802575,0.0
34,Wednesday,04,1.639506274091692,0.4451371571072319,1.0726931330472103,0.0
35,Friday,05,1.6337037644550152,0.47646508728179554,1.016362660944206,0.0
36,Monday,05,1.617740597975159,0.5519534497090607,1.1688125894134478,0.0
37,Saturday,05,1.6021032104030546,0.4679966749792186,1.1949213161659513,0.0
38,Sunday,05,1.5819641506511022,0.4546965918536991,1.1301859799713876,0.0
39,Thursday,05,1.6394037562535881,0.5087281795511223,0.9704935622317596,0.0
40,Tuesday,05,1.6460879192979578,0.5526807980049875,1.0791309012875536,0.0
41,Wednesday,05,1.6618961699335684,0.5344451371571073,1.1085032188841202,0.0
42,Friday,06,1.6868900188632823,0.5643703241895263,1.046137339055794,0.0
43,Monday,06,1.674950107985456,0.6645885286783043,1.1684549356223175,0.0
44,Saturday,06,1.6205473085650235,0.4771404821280133,1.2013590844062945,0.0
45,Sunday,06,1.6021214357964952,0.48836242726517043,1.1566523605150214,0.0
46,Thursday,06,1.6915033215779545,0.5755922693266833,1.025214592274678,0.0
47,Tuesday,06,1.704420569179037,0.6377805486284289,1.0779238197424892,0.0
48,Wednesday,06,1.7138932174198311,0.785068578553616,1.1181598712446352,0.0
49,Friday,07,1.7543467563356023,0.6419887780548628,1.1081008583690988,0.0
50,Monday,07,1.7427850223716705,0.6745635910224439,1.1648783977110158,0.0
51,Saturday,07,1.6533347913648084,0.470906068162926,1.1434191702432046,0.0044444444444444444
52,Sunday,07,1.6297146814656862,0.49168744804655035,1.1741773962804005,0.0
53,Thursday,07,1.7565406380710245,0.567643391521197,1.0924087982832618,0.0
54,Tuesday,07,1.7727589600590503,0.6733167082294265,1.075912017167382,0.0
55,Wednesday,07,1.7777618305585172,0.835567331670823,1.121378755364807,0.0
56,Friday,08,1.7802017551053884,0.8224750623441397,1.1620171673819741,0.05500000000000001
57,Monday,08,1.7745701085322179,0.8096425602660017,1.234620886981402,0.013333333333333332
58,Saturday,08,1.6814747988372198,0.4933499584372403,1.128755364806867,0.0977777777777778
59,Sunday,08,1.6562508543153176,0.543640897755611,1.184549356223176,0.03777777777777777
60,Thursday,08,1.7828877224637087,0.5498753117206983,1.1511534334763949,0.0425
61,Tuesday,08,1.799680144345116,0.7373753117206983,1.075912017167382,0.0225
62,Wednesday,08,1.799147051586976,0.8271508728179551,1.1229881974248928,0.0375
63,Friday,09,1.785143114901993,0.8458541147132169,1.1700643776824033,0.2625
64,Monday,09,1.7844664971705078,0.8254364089775561,1.2553648068669527,0.1688888888888889
65,Saturday,09,1.6985519924911379,0.5665004156275977,1.1752503576537912,0.3111111111111111
66,Sunday,09,1.6778843963294057,0.5881130507065669,1.2421316165951357,0.21555555555555556
67,Thursday,09,1.7878290822603133,0.6036471321695761,1.1692596566523605,0.18500000000000003
68,Tuesday,09,1.8059952431723119,0.7579488778054863,1.0565987124463518,0.13999999999999999
