,Day,Hour,Load,U1,U2,U3
0,Friday,00,1.6559059737932862,0.5075772108191061,1.4712776493892374,0.0
1,Monday,00,1.6356926105142295,0.5239785152503357,1.4655827005612412,0.0
2,Saturday,00,1.6408532007646255,0.6301553807788222,1.4440409376031693,0.0
3,Sunday,00,1.6170690623245367,0.638212161902935,1.4683063717398481,0.0
4,Thursday,00,1.6662902421944494,0.5452714367926338,1.4581545064377683,0.0
5,Tuesday,00,1.6571172614804206,0.5277191636293881,1.3979861340376363,0.0
6,Wednesday,00,1.6516917020484643,0.6422405524649915,1.4356223175965666,0.0
7,Friday,01,1.6278192405478553,0.5003836562440054,1.4769725982172335,0.0
8,Monday,01,1.6032275769830104,0.5331862651064646,1.452954770551337,0.0
9,Saturday,01,1.6146086342100447,0.6295798964128141,1.453449983492902,0.0
10,Sunday,01,1.5965276419635477,0.5892959907922501,1.4633542423241994,0.0
11,Thursday,01,1.6341027954248655,0.5343372338384808,1.4616209970287222,0.0
12,Tuesday,01,1.6231381183402835,0.5259927105313639,1.4111092769891054,0.0
13,Wednesday,01,1.6205136616848255,0.6551889507001726,1.4227467811158798,0.0
14,Friday,02,1.5810584887924344,0.4897371954728564,1.4712776493892374,0.0
15,Monday,02,1.5590786643029733,0.5487243429886821,1.465335094090459,0.0
16,Saturday,02,1.575670782100701,0.5786495300211011,1.4163090128755367,0.0
17,Sunday,02,1.5642140193932206,0.5815269518511413,1.452954770551337,0.0
18,Thursday,02,1.584149795910642,0.5510262804527144,1.4390888081875206,0.0
19,Tuesday,02,1.578257386015936,0.5093036639171302,1.468801584681413,0.0
20,Wednesday,02,1.5745478174740866,0.6149050450796086,1.4499834929019477,0.0
21,Friday,03,1.5359127872865264,0.4874352580088241,1.4725156817431495,0.0
22,Monday,03,1.5175668258584687,0.5455591789756379,1.4730108946847145,0.0
23,Saturday,03,1.5359254048666007,0.5490120851716862,1.4279465170023111,0.0
24,Sunday,03,1.5252383145436537,0.5547669288317667,1.4462693958402113,0.0
25,Thursday,03,1.5370736046533635,0.5412430462305774,1.4400792340706503,0.0
26,Tuesday,03,1.5350295566813241,0.5118933435641665,1.4690491911521955,0.0
27,Wednesday,03,1.529137146786618,0.5720314598120084,1.458649719379333,0.0
28,Friday,04,1.5062362389517314,0.47362363322463075,1.4328986464179596,0.0
29,Monday,04,1.4901362067769024,0.5234030308843276,1.4710300429184548,0.0
30,Saturday,04,1.5057567709089075,0.5602340303088433,1.4757345658633212,0.0
31,Sunday,04,1.49313919083459,0.5530404757337426,1.3940244305051173,0.0
32,Thursday,04,1.504835687563482,0.547285632073662,1.4371079564212612,0.0
33,Tuesday,04,1.5066778542543324,0.5265681948973719,1.4678111587982832,0.0
34,Wednesday,04,1.5014289409434165,0.588145022060234,1.454440409376032,0.0
35,Friday,05,1.488294040086052,0.5225398043353155,1.4487454605480357,0.0
36,Monday,05,1.4734179131784315,0.5118933435641665,1.4707824364476723,0.0
37,Saturday,05,1.4866537546763907,0.557068866295799,1.4581545064377683,0.0
38,Sunday,05,1.4701499599391832,0.5835411471321696,1.4210135358204026,0.0
39,Thursday,05,1.4914610526847056,0.5823901784001535,1.4663255199735885,0.0
