,Season,Day,Hour,U1,U2,U3,Load,Dispatch Cost
0,fall,Sunday,0,0.9000000000000001,0.7170690623245366,0.0,1.6170690623245367,417.0849705694944
1,fall,Sunday,1,1.1000000000000005,0.49652764196354715,0.0,1.5965276419635477,417.0849705694944
2,fall,Sunday,2,1.3000000000000012,0.2642140193932194,0.0,1.5642140193932206,417.0849705694944
3,fall,Sunday,3,1.325238314543654,0.19999999999999973,0.0,1.5252383145436537,417.0849705694944
4,fall,Sunday,4,1.2931391908345902,0.19999999999999973,0.0,1.49313919083459,417.0849705694944
5,fall,Sunday,5,1.2701499599391834,0.19999999999999973,0.0,1.4701499599391832,417.0849705694944
6,fall,Sunday,6,1.2588193730324464,0.19999999999999973,0.0,1.4588193730324461,417.0849705694944
7,fall,Sunday,7,1.1126039530878395,0.3327190254181127,0.007692307692307693,1.45301528619826,417.0849705694944
8,fall,Sunday,8,0.9126039530878389,0.36742494117053104,0.17692307692307693,1.456951971181447,417.0849705694944
9,fall,Sunday,9,0.7126039530878383,0.2821335066147652,0.4707692307692308,1.4655066904718344,417.0849705694944
10,fall,Sunday,10,0.5126039530878376,0.19999999999999973,0.7707692307692308,1.483373183857068,417.0849705694944
11,fall,Sunday,11,0.3795911904055923,0.19999999999999973,0.9276923076923077,1.5072834980978997,417.0849705694944
12,fall,Sunday,12,0.39092972638777634,0.19999999999999973,0.9415384615384615,1.5324681879262376,417.0849705694944
13,fall,Sunday,13,0.3395598988070079,0.19999999999999973,1.0230769230769232,1.5626368218839308,417.0849705694944
14,fall,Sunday,14,0.44002914660997205,0.19999999999999973,0.9492307692307692,1.589259915840741,417.0849705694944
15,fall,Sunday,15,0.6020180557570867,0.19999999999999973,0.803076923076923,1.6050949788340094,417.0849705694944
16,fall,Sunday,16,0.8020180557570873,0.27878316057763186,0.5353846153846153,1.6161858317193345,417.0849705694944
17,fall,Sunday,17,1.002018055757088,0.3200962721359657,0.29692307692307696,1.6190374048161305,417.0849705694944
18,fall,Sunday,18,1.2020180557570885,0.34345166520512804,0.07538461538461538,1.620854336346832,417.0849705694944
19,fall,Sunday,19,1.4020180557570892,0.2231297907374319,0.006153846153846154,1.6313016926483672,417.0849705694944
20,fall,Sunday,20,1.4479190456062434,0.19999999999999973,0.0,1.6479190456062431,417.0849705694944
21,fall,Sunday,21,1.4589215754310483,0.19999999999999973,0.0,1.658921575431048,417.0849705694944
22,fall,Sunday,22,1.4478811928660205,0.19999999999999973,0.0,1.6478811928660202,417.0849705694944
23,fall,Sunday,23,1.4447141802673669,0.19999999999999973,0.0,1.6447141802673666,417.0849705694944
0,fall,Monday,0,0.9000000000000001,0.7356926105142294,0.0,1.6356926105142295,426.64926534140017
1,fall,Monday,1,1.1000000000000005,0.5032275769830099,0.0,1.6032275769830104,426.64926534140017
2,fall,Monday,2,1.3000000000000012,0.2590786643029721,0.0,1.5590786643029733,426.64926534140017
3,fall,Monday,3,1.317566825858469,0.19999999999999973,0.0,1.5175668258584687,426.64926534140017
4,fall,Monday,4,1.2901362067769027,0.19999999999999973,0.0,1.4901362067769024,426.64926534140017
5,fall,Monday,5,1.2734179131784318,0.19999999999999973,0.0,1.4734179131784315,426.64926534140017
6,fall,Monday,6,1.2665287144578543,0.19999999999999973,0.0,1.466528714457854,426.64926534140017
7,fall,Monday,7,1.122832520550886,0.3376541395125805,0.003076923076923077,1.4635635831403895,426.64926534140017
8,fall,Monday,8,0.9228325205508854,0.37555230302380127,0.17230769230769233,1.470692515882379,426.64926534140017
9,fall,Monday,9,0.7228325205508848,0.2648476742645516,0.5076923076923077,1.495372502507744,426.64926534140017
10,fall,Monday,10,0.5228325205508838,0.19999999999999973,0.8292307692307693,1.5520632897816529,426.64926534140017
11,fall,Monday,11,0.5092091931688425,0.19999999999999973,0.9015384615384614,1.6107476547073036,426.64926534140017
12,fall,Monday,12,0.4847819366723657,0.19999999999999973,0.9461538461538462,1.6309357828262117,426.64926534140017
13,fall,Monday,13,0.4946271820527547,0.19999999999999973,0.9523076923076922,1.6469348743604466,426.64926534140017
14,fall,Monday,14,0.6437144893980785,0.19999999999999973,0.816923076923077,1.6606375663211552,426.64926534140017
15,fall,Monday,15,0.7853844261209146,0.19999999999999973,0.6846153846153846,1.669999810736299,426.64926534140017
16,fall,Monday,16,0.9646661072872837,0.19999999999999973,0.5061538461538462,1.6708199534411297,426.64926534140017
17,fall,Monday,17,1.1646661072872844,0.22870348055946277,0.28153846153846157,1.6749080493852087,426.64926534140017
18,fall,Monday,18,1.364666107287285,0.23838671621169616,0.06923076923076923,1.6722835927297504,426.64926534140017
19,fall,Monday,19,1.471731068898296,0.19999999999999973,0.004615384615384615,1.6763464535136805,426.64926534140017
20,fall,Monday,20,1.4929890416317055,0.19999999999999973,0.0,1.6929890416317053,426.64926534140017
21,fall,Monday,21,1.5,0.2041934527376994,0.0,1.7041934527376994,426.64926534140017
22,fall,Monday,22,1.4831977994940353,0.19999999999999973,0.0,1.683197799494035,426.64926534140017
23,fall,Monday,23,1.4716400961459606,0.19999999999999973,0.0,1.6716400961459603,426.64926534140017
0,fall,Tuesday,0,0.9000000000000001,0.7571172614804205,0.0,1.6571172614804206,425.32902737383984
1,fall,Tuesday,1,1.1000000000000005,0.523138118340283,0.0,1.6231381183402835,425.32902737383984
2,fall,Tuesday,2,1.3000000000000012,0.27825738601593475,0.0,1.578257386015936,425.32902737383984
3,fall,Tuesday,3,1.3350295566813244,0.19999999999999973,0.0,1.5350295566813241,425.32902737383984
4,fall,Tuesday,4,1.3066778542543327,0.19999999999999973,0.0,1.5066778542543324,425.32902737383984
5,fall,Tuesday,5,1.2902119122573485,0.19999999999999973,0.0,1.4902119122573483,425.32902737383984
6,fall,Tuesday,6,1.28112725460384,0.19999999999999973,0.0,1.4811272546038396,425.32902737383984
7,fall,Tuesday,7,1.0849467222681384,0.38804484287958174,0.004615384615384615,1.4776069497631048,425.32902737383984
8,fall,Tuesday,8,0.8849467222681371,0.46169264836696877,0.13692307692307693,1.4835624475581828,425.32902737383984
9,fall,Tuesday,9,0.6849467222681371,0.3438635030187551,0.48000000000000004,1.5088102252868922,425.32902737383984
10,fall,Tuesday,10,0.4849467222681364,0.19999999999999973,0.8815384615384615,1.5664851838065976,425.32902737383984
11,fall,Tuesday,11,0.3503644588004473,0.19999999999999973,1.0738461538461537,1.6242106126466007,425.32902737383984
12,fall,Tuesday,12,0.3966307275927554,0.19999999999999973,1.0476923076923077,1.6443230352850629,425.32902737383984
13,fall,Tuesday,13,0.39221167252332734,0.19999999999999973,1.0646153846153845,1.6568270571387116,425.32902737383984
14,fall,Tuesday,14,0.476000479468043,0.19999999999999973,0.9907692307692308,1.6667697102372736,425.32902737383984
15,fall,Tuesday,15,0.6189251083534691,0.19999999999999973,0.8461538461538461,1.665078954507315,425.32902737383984
16,fall,Tuesday,16,0.8189251083534701,0.24311212612532906,0.5984615384615385,1.6604987729403378,425.32902737383984
17,fall,Tuesday,17,1.0189251083534707,0.31756922319868086,0.33384615384615385,1.6703404853983055,425.32902737383984
18,fall,Tuesday,18,1.2189251083534713,0.3601288254925563,0.09076923076923077,1.6698231646152584,425.32902737383984
19,fall,Tuesday,19,1.418925108353472,0.2459816161858286,0.007692307692307693,1.6725990322316082,425.32902737383984
20,fall,Tuesday,20,1.4888378577872552,0.19999999999999973,0.0,1.688837857787255,425.32902737383984
21,fall,Tuesday,21,1.49937353714931,0.19999999999999996,0.0,1.69937353714931,425.32902737383984
22,fall,Tuesday,22,1.4783400311654231,0.19999999999999973,0.0,1.6783400311654229,425.32902737383984
23,fall,Tuesday,23,1.4658738620519973,0.19999999999999973,0.0,1.665873862051997,425.32902737383984
0,fall,Wednesday,0,0.9000000000000001,0.7516917020484641,0.0,1.6516917020484643,426.3963295459562
1,fall,Wednesday,1,1.1000000000000005,0.5205136616848249,0.0,1.6205136616848255,426.3963295459562
2,fall,Wednesday,2,1.3000000000000012,0.2745478174740854,0.0,1.5745478174740866,426.3963295459562
3,fall,Wednesday,3,1.3291371467866182,0.19999999999999973,0.0,1.529137146786618,426.3963295459562
4,fall,Wednesday,4,1.3014289409434168,0.19999999999999973,0.0,1.5014289409434165,426.3963295459562
5,fall,Wednesday,5,1.2865149612955733,0.19999999999999973,0.0,1.486514961295573,426.3963295459562
6,fall,Wednesday,6,1.2789191780908342,0.19999999999999973,0.0,1.478919178090834,426.3963295459562
7,fall,Wednesday,7,1.167949706325826,0.3021415818660118,0.007692307692307693,1.4777835958841454,426.3963295459562
8,fall,Wednesday,8,0.9679497063258253,0.3726367587960291,0.14307692307692307,1.4836633881987775,426.3963295459562
9,fall,Wednesday,9,0.767949706325824,0.29732936300146995,0.44307692307692303,1.508355992404217,426.3963295459562
10,fall,Wednesday,10,0.5679497063258241,0.19999999999999973,0.8015384615384615,1.5694881678642854,426.3963295459562
11,fall,Wednesday,11,0.41714009930035534,0.19999999999999973,1.0138461538461538,1.630986253146509,426.3963295459562
12,fall,Wednesday,12,0.30856342542063886,0.19999999999999973,1.1415384615384616,1.6501018869591002,426.3963295459562
13,fall,Wednesday,13,0.3429700521736938,0.19999999999999973,1.116923076923077,1.6598931290967704,426.3963295459562
14,fall,Wednesday,14,0.5258008062633671,0.19999999999999973,0.9446153846153845,1.6704161908787514,426.3963295459562
15,fall,Wednesday,15,0.6416936577733758,0.19999999999999973,0.8353846153846154,1.677078273157991,426.3963295459562
16,fall,Wednesday,16,0.8416936577733765,0.24911897747130984,0.5892307692307692,1.6800434044754555,426.3963295459562
17,fall,Wednesday,17,1.041693657773377,0.3256418247544288,0.31846153846153846,1.6857970209893445,426.3963295459562
18,fall,Wednesday,18,1.2416936577733777,0.3772429325779587,0.06615384615384615,1.6850904365051826,426.3963295459562
19,fall,Wednesday,19,1.4416936577733783,0.24748664113709373,0.003076923076923077,1.692257221987395,426.3963295459562
20,fall,Wednesday,20,1.5,0.20715858405516396,0.0,1.707158584055164,426.3963295459562
21,fall,Wednesday,21,1.5,0.21765641067699604,0.0,1.717656410676996,426.3963295459562
22,fall,Wednesday,22,1.4972411661167508,0.19999999999999973,0.0,1.6972411661167506,426.3963295459562
23,fall,Wednesday,23,1.4853175529465208,0.19999999999999973,0.0,1.6853175529465205,426.3963295459562
0,fall,Thursday,0,0.9000000000000001,0.7662902421944493,0.0,1.6662902421944494,434.32971755547
1,fall,Thursday,1,1.1000000000000005,0.5341027954248649,0.0,1.6341027954248655,434.32971755547
2,fall,Thursday,2,1.3000000000000012,0.28414979591064093,0.0,1.584149795910642,434.32971755547
3,fall,Thursday,3,1.3370736046533638,0.19999999999999973,0.0,1.5370736046533635,434.32971755547
4,fall,Thursday,4,1.3048356875634823,0.19999999999999973,0.0,1.504835687563482,434.32971755547
5,fall,Thursday,5,1.291461052684706,0.19999999999999973,0.0,1.4914610526847056,434.32971755547
6,fall,Thursday,6,1.2836507706187035,0.19999999999999973,0.0,1.4836507706187032,434.32971755547
7,fall,Thursday,7,1.273080771438846,0.19999999999999973,0.006153846153846154,1.4792346175926918,434.32971755547
8,fall,Thursday,8,1.1482415509529438,0.2144637843907906,0.12153846153846154,1.484243796882196,434.32971755547
9,fall,Thursday,9,0.9482415509529432,0.19999999999999973,0.3584615384615385,1.5067030894144813,434.32971755547
10,fall,Thursday,10,0.8061050161189593,0.2100273170608602,0.5507692307692308,1.5669015639490502,434.32971755547
11,fall,Thursday,11,0.6061050161189587,0.19999999999999973,0.823076923076923,1.6291819391958815,434.32971755547
